"","title","employ22","employ32","med_wage","entry_educ","onjob_training"
"379","Health technologists and technicians, all other",168,179.1,44990,"Postsecondary nondegree award","None"
"380","Healthcare diagnosing or treating practitioners, all other",35.2,35.9,106230,"Master's degree","None"
"381","Healthcare practitioners and technical workers, all other",44.4,46.7,60160,"Postsecondary nondegree award","None"
"382","Healthcare social workers",191.4,209.8,60280,"Master's degree","Internship/residency"
"383","Healthcare support workers, all other",112.7,119.1,40420,"High school diploma or equivalent","None"
"384","Hearing aid specialists",10.2,11.7,59020,"High school diploma or equivalent","Moderate-term on-the-job training"
"385","Heat treating equipment setters, operators, and tenders, metal and plastic",16,14.6,40900,"High school diploma or equivalent","Moderate-term on-the-job training"
"386","Heating, air conditioning, and refrigeration mechanics and installers",415.8,438.8,51390,"Postsecondary nondegree award","Long-term on-the-job training"
"387","Heavy and tractor-trailer truck drivers",2192.3,2281.5,49920,"Postsecondary nondegree award","Short-term on-the-job training"
"388","Helpers, construction trades, all other",28.3,28.8,37820,"No formal educational credential","Short-term on-the-job training"
"389","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",17.9,15.9,39430,"No formal educational credential","Short-term on-the-job training"
"390","Helpers--carpenters",25.1,23.7,37490,"No formal educational credential","Short-term on-the-job training"
"391","Helpers--electricians",72.5,70,37070,"High school diploma or equivalent","Short-term on-the-job training"
"392","Helpers--extraction workers",7.2,7.2,43110,"High school diploma or equivalent","Moderate-term on-the-job training"
"393","Helpers--installation, maintenance, and repair workers",96.5,98.9,35100,"High school diploma or equivalent","Short-term on-the-job training"
"394","Helpers--painters, paperhangers, plasterers, and stucco masons",8.7,8.9,36080,"No formal educational credential","Short-term on-the-job training"
"395","Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47.8,48.9,36340,"High school diploma or equivalent","Short-term on-the-job training"
"396","Helpers--production workers",193,175.1,34670,"High school diploma or equivalent","Short-term on-the-job training"
"397","Helpers--roofers",5.9,6,37020,"No formal educational credential","Short-term on-the-job training"
"398","Highway maintenance workers",151.2,163.2,44930,"High school diploma or equivalent","Moderate-term on-the-job training"
"399","Historians",3.5,3.6,64540,"Master's degree","None"
"400","History teachers, postsecondary",22.8,23.1,79400,"Doctoral or professional degree","None"
"401","Hoist and winch operators",2.8,2.7,58950,"No formal educational credential","Short-term on-the-job training"
"402","Home appliance repairers",36.6,35.1,46000,"High school diploma or equivalent","Moderate-term on-the-job training"
"403","Home health and personal care aides",3715.5,4520.1,30180,"High school diploma or equivalent","Short-term on-the-job training"
"404","Hosts and hostesses, restaurant, lounge, and coffee shop",412.8,414.9,27720,"No formal educational credential","Short-term on-the-job training"
"405","Hotel, motel, and resort desk clerks",257.7,251.1,28910,"High school diploma or equivalent","Short-term on-the-job training"
"406","Human resources assistants, except payroll and timekeeping",107.6,102.4,45930,"Associate's degree","None"
"407","Human resources managers",191.6,201.6,130000,"Bachelor's degree","None"
"408","Human resources specialists",874.5,925.9,64240,"Bachelor's degree","None"
"409","Hydrologic technicians",3.1,3.1,58360,"Associate's degree","Moderate-term on-the-job training"
"410","Hydrologists",6.6,6.7,85990,"Bachelor's degree","None"
"411","Industrial engineering technologists and technicians",69.1,71.3,61210,"Associate's degree","None"
"412","Industrial engineers",327.3,365.7,96350,"Bachelor's degree","None"
"413","Industrial machinery mechanics",402.2,462.1,59830,"High school diploma or equivalent","Long-term on-the-job training"
"414","Industrial production managers",222.1,225.7,107560,"Bachelor's degree","None"
"415","Industrial truck and tractor operators",796.6,826.5,41230,"No formal educational credential","Short-term on-the-job training"
"416","Industrial-organizational psychologists",10.1,10.6,139280,"Master's degree","Internship/residency"
"417","Information and record clerks, all other",161.1,165.4,44720,"High school diploma or equivalent","Short-term on-the-job training"
"418","Information security analysts",168.9,222.2,112000,"Bachelor's degree","None"
"419","Inspectors, testers, sorters, samplers, and weighers",595.4,572.4,43900,"High school diploma or equivalent","Moderate-term on-the-job training"
"420","Installation, maintenance, and repair workers, all other",195.4,198.3,44500,"High school diploma or equivalent","Moderate-term on-the-job training"
"421","Instructional coordinators",216.6,222,66490,"Master's degree","None"
"422","Insulation workers, floor, ceiling, and wall",34.4,35,45380,"No formal educational credential","Short-term on-the-job training"
"423","Insulation workers, mechanical",27.2,27.6,50590,"High school diploma or equivalent","Apprenticeship"
"424","Insurance appraisers, auto damage",13.6,13.3,69380,"Postsecondary nondegree award","Moderate-term on-the-job training"
"425","Insurance claims and policy processing clerks",259,250.8,46080,"High school diploma or equivalent","Moderate-term on-the-job training"
"426","Insurance sales agents",536.8,579.3,57860,"High school diploma or equivalent","Moderate-term on-the-job training"
"427","Insurance underwriters",125.5,122.4,76230,"Bachelor's degree","Moderate-term on-the-job training"
"428","Interior designers",94.9,98.7,61590,"Bachelor's degree","None"
"429","Interpreters and translators",68.7,71.7,53640,"Bachelor's degree","None"
"430","Interviewers, except eligibility and loan",175.4,157.6,38700,"High school diploma or equivalent","Short-term on-the-job training"
"431","Janitors and cleaners, except maids and housekeeping cleaners",2382.9,2412.8,31990,"No formal educational credential","Short-term on-the-job training"
"432","Jewelers and precious stone and metal workers",47.2,45.8,47140,"High school diploma or equivalent","Long-term on-the-job training"
"433","Judges, magistrate judges, and magistrates",29.6,30.2,151030,"Doctoral or professional degree","Short-term on-the-job training"
"434","Judicial law clerks",16.3,16.6,57490,"Doctoral or professional degree","None"
"435","Kindergarten teachers, except special education",123.4,124.1,60490,"Bachelor's degree","None"
"436","Labor relations specialists",64.6,64,82010,"Bachelor's degree","None"
"437","Laborers and freight, stock, and material movers, hand",2988.5,3147.3,36110,"No formal educational credential","Short-term on-the-job training"
"438","Landscape architects",23.6,23.8,73210,"Bachelor's degree","Internship/residency"
"439","Landscaping and groundskeeping workers",1176.1,1217.9,35890,"No formal educational credential","Short-term on-the-job training"
"440","Lathe and turning machine tool setters, operators, and tenders, metal and plastic",19.7,17.8,47020,"High school diploma or equivalent","Moderate-term on-the-job training"
"441","Laundry and dry-cleaning workers",184.4,182,29060,"No formal educational credential","Short-term on-the-job training"
"442","Law teachers, postsecondary",19.8,20.4,108860,"Doctoral or professional degree","None"
"443","Lawyers",826.3,888.7,135740,"Doctoral or professional degree","None"
"444","Layout workers, metal and plastic",7.1,6.4,58260,"High school diploma or equivalent","Moderate-term on-the-job training"
"445","Legal secretaries and administrative assistants",161.4,126.2,48780,"High school diploma or equivalent","Moderate-term on-the-job training"
"446","Legal support workers, all other",51.4,51.5,62340,"Associate's degree","None"
"447","Legislators",44.4,46,48090,"Bachelor's degree","None"
"448","Librarians and media collections specialists",141.2,145.5,61660,"Master's degree","None"
"449","Library assistants, clerical",82.9,78.2,31150,"High school diploma or equivalent","Short-term on-the-job training"
"450","Library science teachers, postsecondary",5.4,5.6,76370,"Doctoral or professional degree","None"
"451","Library technicians",78.6,73.8,37600,"Postsecondary nondegree award","None"
"452","Licensed practical and licensed vocational nurses",655,689.9,54620,"Postsecondary nondegree award","None"
"453","Life scientists, all other",9,9.4,83930,"Bachelor's degree","None"
"454","Life, physical, and social science technicians, all other",80,83.1,50290,"Associate's degree","None"
"455","Lifeguards, ski patrol, and other recreational protective service workers",113.5,120.5,27270,"No formal educational credential","Short-term on-the-job training"
"456","Light truck drivers",1164.6,1298.4,40410,"High school diploma or equivalent","Short-term on-the-job training"
"457","Lighting technicians",10.5,10.2,61650,"Postsecondary nondegree award","Short-term on-the-job training"
"458","Loading and moving machine operators, underground mining",5.4,4.4,63920,"No formal educational credential","Short-term on-the-job training"
"459","Loan interviewers and clerks",247.1,244.6,46490,"High school diploma or equivalent","Short-term on-the-job training"
"460","Loan officers",354.8,365.3,65740,"Bachelor's degree","Moderate-term on-the-job training"
"461","Locker room, coatroom, and dressing room attendants",12.9,13.8,30210,"High school diploma or equivalent","Short-term on-the-job training"
"462","Locksmiths and safe repairers",18.2,16.1,47400,"High school diploma or equivalent","Long-term on-the-job training"
"463","Locomotive engineers",29.7,29.9,74570,"High school diploma or equivalent","Moderate-term on-the-job training"
"464","Lodging managers",50.8,54.2,61910,"High school diploma or equivalent","None"
"465","Log graders and scalers",5.6,5.5,42370,"High school diploma or equivalent","Moderate-term on-the-job training"
"466","Logging equipment operators",35.3,34,46400,"High school diploma or equivalent","Moderate-term on-the-job training"
"467","Logging workers, all other",4.9,4.6,47110,"High school diploma or equivalent","Moderate-term on-the-job training"
"468","Logisticians",208.7,246.9,77520,"Bachelor's degree","None"
"469","Machine feeders and offbearers",51.5,54.3,38040,"No formal educational credential","Short-term on-the-job training"
"470","Machinists",327,333.3,48510,"High school diploma or equivalent","Long-term on-the-job training"
"471","Magnetic resonance imaging technologists",41.4,44.6,80090,"Associate's degree","None"
"472","Maids and housekeeping cleaners",1238.8,1240.4,29960,"No formal educational credential","Short-term on-the-job training"
"473","Mail clerks and mail machine operators, except postal service",72.8,69.4,35070,"High school diploma or equivalent","Short-term on-the-job training"
"474","Maintenance and repair workers, general",1607.2,1664.4,44980,"High school diploma or equivalent","Moderate-term on-the-job training"
"475","Maintenance workers, machinery",63.6,67.1,53310,"High school diploma or equivalent","Long-term on-the-job training"
"476","Makeup artists, theatrical and performance",4.6,4.9,96370,"Postsecondary nondegree award","None"
"477","Management analysts",987.6,1083.3,95290,"Bachelor's degree","None"
"478","Managers, all other",1228.3,1269.4,128620,"Bachelor's degree","None"
"479","Manicurists and pedicurists",196.9,214,31130,"Postsecondary nondegree award","None"
"480","Manufactured building and mobile home installers",4.1,3.2,36820,"High school diploma or equivalent","Short-term on-the-job training"
"481","Marine engineers and naval architects",8,8.1,96910,"Bachelor's degree","None"
"482","Market research analysts and marketing specialists",868.6,985.2,68230,"Bachelor's degree","None"
"483","Marketing managers",358.2,381.9,140040,"Bachelor's degree","None"
"484","Marriage and family therapists",71.2,81.8,56570,"Master's degree","Internship/residency"
"485","Massage therapists",134.3,158.9,49860,"Postsecondary nondegree award","None"
"486","Material moving workers, all other",26.1,27,38800,"No formal educational credential","Short-term on-the-job training"
"487","Materials engineers",22.3,23.5,100140,"Bachelor's degree","None"
"488","Materials scientists",7.9,8.3,104380,"Bachelor's degree","None"
"489","Mathematical science occupations, all other",4.1,4.4,71700,"Bachelor's degree","None"
"490","Mathematical science teachers, postsecondary",55.9,57.7,77420,"Doctoral or professional degree","None"
"491","Mathematicians",2.3,2.3,112110,"Master's degree","None"
"492","Meat, poultry, and fish cutters and trimmers",141,143.8,35070,"No formal educational credential","Short-term on-the-job training"
"493","Mechanical door repairers",28,30.6,47010,"High school diploma or equivalent","Moderate-term on-the-job training"
"494","Mechanical drafters",49.6,46,61310,"Associate's degree","None"
"495","Mechanical engineering technologists and technicians",41.1,41.4,61990,"Associate's degree","None"
"496","Mechanical engineers",286.1,314.7,96310,"Bachelor's degree","None"
"497","Media and communication equipment workers, all other",17.3,17.9,69490,"High school diploma or equivalent","Short-term on-the-job training"
"498","Media and communication workers, all other",25.8,26.9,65000,"High school diploma or equivalent","Short-term on-the-job training"
"499","Medical and health services managers",509.5,654.2,104830,"Bachelor's degree","None"
"500","Medical appliance technicians",16.6,17.1,42160,"High school diploma or equivalent","Moderate-term on-the-job training"
"501","Medical assistants",764.4,870.2,38270,"Postsecondary nondegree award","None"
"502","Medical dosimetrists",3.5,3.6,128970,"Bachelor's degree","None"
"503","Medical equipment preparers",66.7,70.3,41480,"High school diploma or equivalent","Moderate-term on-the-job training"
"504","Medical equipment repairers",66.4,75.1,57860,"Associate's degree","Moderate-term on-the-job training"
"505","Medical records specialists",194.3,210.9,47180,"Postsecondary nondegree award","None"
"506","Medical scientists, except epidemiologists",119,130.7,99930,"Doctoral or professional degree","None"
"507","Medical secretaries and administrative assistants",696.6,743.2,38500,"High school diploma or equivalent","Moderate-term on-the-job training"
"508","Medical transcriptionists",49,47.2,34730,"Postsecondary nondegree award","None"
"509","Meeting, convention, and event planners",132,141.9,52560,"Bachelor's degree","None"
"510","Mental health and substance abuse social workers",113.5,125.5,51240,"Master's degree","Internship/residency"
"511","Merchandise displayers and window trimmers",173.4,177.5,35380,"High school diploma or equivalent","Short-term on-the-job training"
"512","Metal workers and plastic workers, all other",21.4,19.8,38340,"High school diploma or equivalent","Moderate-term on-the-job training"
"513","Metal-refining furnace operators and tenders",19.7,18.1,50280,"High school diploma or equivalent","Moderate-term on-the-job training"
"514","Meter readers, utilities",21.1,18.5,44760,"High school diploma or equivalent","Short-term on-the-job training"
"515","Microbiologists",20.9,22,81990,"Bachelor's degree","None"
